TITLE,CATEGORY
this year the southwest monsoon began late in mumbai leaving it relatively dry for a month but the rainfall city received within the span of two days was what it normally gets in the entire month of june “due to global warming frequency of rainfall as well as temperature extremes are increasing and will go on increasing in the future” said sk dash former head of the centre for atmospheric sciences iit delhi adding that scientific models are required to assess the relationship between climate change and a particular weather incident global warming triggers intense bursts of rainfall because higher temperature increases the moistureholding capacity of the atmosphere,environment
a britishaustralian woman serving a 10year sentence in iran for espionage has been transferred to a notorious prison in the desert officials say kylie mooregilbert a lecturer at melbourne university has been in jail since september 2018 she was tried in secret and strongly denies all the charges against her the australian government has said it holds iran responsible for ms mooregilberts safety and wellbeing and is urgently seeking access to her dr mooregilberts case is one of the australian governments highest priorities including for our embassy officials in tehran australias department of foreign affairs and trade said in a statement on tuesday the statement added that iran had confirmed earlier reports from human rights activists that she had been moved to the notorious qarchak prison the jail is sometimes used as punishment for iranian political prisoners and conditions have been described by former inmates as abysmal,world
hyd man gives  silver bricks for ayodhya temple ,cities
unlock plan bmc mulls citywide antibody tests ,cities
eight core industries’ record negative growth output shrinks by 15 per cent in june the eight core sectors had expanded by 12 per cent in june 2019 data released by the commerce and industry ministry on friday showedcontracting for the fourth consecutive month the output of eight core infrastructure industries shrank by 15 per cent in june due to fall in the production of coal crude oil natural gas steel cement and electricitythe eight core sectors had expanded by 12 per cent in june 2019 data released by the commerce and industry ministry on friday showedbarring fertiliser all seven sectors  coal crude oil natural gas refinery products steel cement and electricity  had recorded negative growth in maythe output of coal crude oil natural gas refinery products steel cement and electricity declined by 155 per cent 6 per cent 12 per cent 89 per cent 338 per cent 69 per cent and 11 per cent respectivelyduring apriljune 202021 the sector’s output dipped by 246 per cent as compared to a positive growth of 34 per cent in the same period previous year,business
tata consumer products q1 earnings what to expecttata consumer products will be in focus today ahead of its q1 earnings the companys numbers have got a boost over the last couple of quarters because of tata chemicals consumer business coming in the company is expected to see 35 percent growth in topline 44 percent growth in ebitda and margin expansion by about 100200 basis points the net profit is expected to grow by about 10 percent as well,business
agartala schools served notices for hiking fees during lockdown  ,cities
govind singh dotasra on wednesday formally took over as the new chief of the rajasthan congressi would like to thank sonia gandhi ji and rahul gandhi ji for giving the responsibility to a small worker like me who comes from a farmers family the newlyappointed state unit chief said at the pradesh congress committee officehe thanked the people of his constituency laxmangarh and said he would live up to the expectations of farmers dalits and youths adding that he would work to bring the congress to power again in the 2023 state pollsaddressing the party workers chief minister ashok gehlot said dotasra had played his role well as a member of the assembly and deputy chief whip when the party was in oppositionhe said people are wellversed with the working style of dotasra and a positive message has gone to the block level with his appointmentaicc general secretary and rajasthan incharge avinash pande said the appointment has come at a time when the political situation in the state is not good and the entire country is looking at the happenings in rajasthanhe said people are also looking at the role of the governor in the present crisispande said dotasra state education minister and former party district president has now been given the responsibility to run the organisation he added that “dotasara knows the work”,politics
india has received a strong bipartisan support from members of the us congress against the recent chinese military aggression in ladakh indian and chinese troops have been locked in a bitter standoff in several areas along the line of actual control lac in eastern ladakh since may 5 the situation deteriorated after the june 15 galwan valley clashes in which 20 indian army personnel were killed and an unconfirmed number of chinese soldiers died in the last few weeks dozens of lawmakers across the aisle both on the floor of the house of representatives and the senate and outside the capitol have praised india of standing strong against the chinese efforts to grab indian territories,defence
deepak purohit deputy commissioner of police west said they raided over 30 locations and analysed call records and cctv footage of places around the robbery site the investigation revealed that manpreet had taken rs 25 lakh as loan two years ago but he failed to pay the interest due to lockdown and decided to rob his property documents so that the lender could not have any proof to claim his money purohit said police identified the gang members as praveen 42 who arranged the manpower to pull the robbery and rajbir 40 vivek 19 arun kumar 24 mahesh kumar 32 arvind kumar 36 and vicky 28 police have recovered the robbed items and the vehicles used during the robbery,Legal
